,Time,Protocol,Length
0,0.0,0.25,0.9626307922272048
1,0.0,0.25,0.9626307922272048
2,0.0,0.25,0.9626307922272048
3,0.0,0.25,0.9626307922272048
4,0.0,0.25,0.9626307922272048
5,0.0,0.25,0.9626307922272048
6,0.0,0.25,0.9626307922272048
7,0.0,0.25,0.9626307922272048
8,0.0,0.25,0.9626307922272048
9,0.0,0.25,0.9626307922272048
10,0.0,0.25,0.9626307922272048
11,0.0,0.25,0.9626307922272048
12,0.0,0.25,0.9626307922272048
13,0.0,0.25,0.9626307922272048
14,0.0,0.25,0.9626307922272048
15,0.0,0.25,0.9626307922272048
16,0.0,0.25,0.9626307922272048
17,0.0,0.25,0.9626307922272048
18,0.0,0.25,0.9626307922272048
19,0.0,0.25,0.9626307922272048
20,0.0,0.25,0.9626307922272048
21,0.0,0.25,0.9626307922272048
22,0.0,0.25,0.9626307922272048
23,0.0,0.25,0.9626307922272048
24,1.5584000010449017e-05,0.25,0.9626307922272048
25,4.4250000144074875e-06,0.25,0.9626307922272048
26,3.4749999997529812e-06,0.25,0.9626307922272048
27,3.165000009630603e-06,0.25,0.9626307922272048
28,3.112999991117249e-06,0.25,0.9626307922272048
29,3.1589999593961693e-06,0.25,0.9626307922272048
30,3.1499999977313564e-06,0.25,0.9626307922272048
31,3.3620000294831698e-06,0.25,0.9626307922272048
32,3.3059999964279996e-06,0.25,0.9626307922272048
33,3.0690000016875274e-06,0.25,0.9626307922272048
34,3.2690000182356016e-06,0.25,0.9626307922272048
35,3.4159999700023036e-06,0.25,0.9626307922272048
36,3.724999999121792e-06,0.25,0.9626307922272048
37,3.4140000195748144e-06,0.25,0.9626307922272048
38,3.403999983220274e-06,0.25,0.9626307922272048
39,3.03199999507342e-06,0.25,0.9626307922272048
40,3.2020000162447104e-06,0.25,0.9626307922272048
41,3.104999990455326e-06,0.25,0.9626307922272048
42,3.512999995791688e-06,0.25,0.9626307922272048
43,3.6510000143152865e-06,0.25,0.9626307922272048
44,3.230000004350586e-06,0.25,0.9626307922272048
45,3.1669999884798017e-06,0.25,0.9626307922272048
46,3.294999999070569e-06,0.25,0.9626307922272048
47,4.106999995201477e-06,0.25,0.9626307922272048
48,3.4120000123039063e-06,0.25,0.9626307922272048
49,3.5940000202572264e-06,0.25,0.9626307922272048
50,3.4079999693403806e-06,0.25,0.9626307922272048
